datafile,lat,lng
N49E000.hgt.zip,49,0
N49E001.hgt.zip,49,1
N49E002.hgt.zip,49,2
N49W001.hgt.zip,49,-1
N49W002.hgt.zip,49,-2
N49W003.hgt.zip,49,-3
N49W006.hgt.zip,49,-6
N50E000.hgt.zip,50,0
N50E001.hgt.zip,50,1
N50E002.hgt.zip,50,2
N50W001.hgt.zip,50,-1
N50W002.hgt.zip,50,-2
N50W003.hgt.zip,50,-3
N50W004.hgt.zip,50,-4
N50W005.hgt.zip,50,-5
N50W006.hgt.zip,50,-6
N51E000.hgt.zip,51,0
N51E001.hgt.zip,51,1
N51E002.hgt.zip,51,2
N51W001.hgt.zip,51,-1
N51W002.hgt.zip,51,-2
N51W003.hgt.zip,51,-3
N51W004.hgt.zip,51,-4
N51W005.hgt.zip,51,-5
N51W006.hgt.zip,51,-6
N52E000.hgt.zip,52,0
N52E001.hgt.zip,52,1
N52W001.hgt.zip,52,-1
N52W002.hgt.zip,52,-2
N52W003.hgt.zip,52,-3
N52W004.hgt.zip,52,-4
N52W005.hgt.zip,52,-5
N52W006.hgt.zip,52,-6
N53E000.hgt.zip,53,0
N53W001.hgt.zip,53,-1
N53W002.hgt.zip,53,-2
N53W003.hgt.zip,53,-3
N53W004.hgt.zip,53,-4
N53W005.hgt.zip,53,-5
N53W006.hgt.zip,53,-6
N54W001.hgt.zip,54,-1
N54W002.hgt.zip,54,-2
N54W003.hgt.zip,54,-3
N54W004.hgt.zip,54,-4
N54W005.hgt.zip,54,-5
N54W006.hgt.zip,54,-6
N55W002.hgt.zip,55,-2
N55W003.hgt.zip,55,-3
N55W004.hgt.zip,55,-4
N55W005.hgt.zip,55,-5
N55W006.hgt.zip,55,-6
N56W003.hgt.zip,56,-3
N56W004.hgt.zip,56,-4
N56W005.hgt.zip,56,-5
N56W006.hgt.zip,56,-6
N57W002.hgt.zip,57,-2
N57W003.hgt.zip,57,-3
N57W004.hgt.zip,57,-4
N57W005.hgt.zip,57,-5
N57W006.hgt.zip,57,-6
N58W003.hgt.zip,58,-3
N58W004.hgt.zip,58,-4
N58W005.hgt.zip,58,-5
N58W006.hgt.zip,58,-6
N59W002.hgt.zip,59,-2
N59W003.hgt.zip,59,-3
N59W004.hgt.zip,59,-4
N59W005.hgt.zip,59,-5
N59W006.hgt.zip,59,-6
N60W001.hgt.zip,60,-1
N60W002.hgt.zip,60,-2
N60W003.hgt.zip,60,-3
